stock_item_id,account_id,rating,comment,date
7,79,2,Operative dedicated solution,2016-07-22 04:53
53,71,3,Profit-focused eco-centric throughput,2017-02-19 22:46
46,13,1,Integrated neutral synergy,2017-01-05 01:35
42,49,5,Managed didactic database,2016-08-31 08:02
15,47,3,Grass-roots user-facing infrastructure,2017-03-13 04:10
87,80,5,Future-proofed non-volatile adapter,2016-09-11 13:18
79,10,1,Ameliorated exuding moderator,2017-03-11 14:11
99,81,4,Distributed uniform protocol,2017-02-25 04:47
11,78,3,Extended needs-based synergy,2017-03-05 01:30
26,71,3,Fully-configurable modular core,2017-02-05 23:56
21,68,5,De-engineered zero defect circuit,2016-10-05 12:53
54,63,3,Vision-oriented actuating archive,2016-10-31 07:52
66,40,2,Optimized dynamic hierarchy,2017-02-12 16:10
59,26,5,Intuitive hybrid methodology,2016-10-15 09:13
90,9,4,Versatile bi-directional artificial intelligence,2017-02-07 18:57
73,100,1,Re-contextualized zero administration help-desk,2016-08-07 15:39
11,48,5,Ergonomic stable toolset,2017-03-06 04:48
99,82,5,Sharable context-sensitive secured line,2017-02-27 04:26
76,55,2,Re-contextualized system-worthy moderator,2016-09-02 15:04
3,42,5,Intuitive hybrid forecast,2016-09-01 14:36
18,32,3,Quality-focused systematic matrices,2016-09-17 17:42
33,12,3,Upgradable static secured line,2016-12-05 14:41
85,43,1,Horizontal 4th generation toolset,2016-12-26 01:29
50,38,1,Object-based mission-critical artificial intelligence,2016-08-28 02:13
100,12,4,Advanced bottom-line help-desk,2016-10-31 03:26
33,86,2,Customizable dynamic time-frame,2016-09-27 12:38
34,67,5,Programmable next generation emulation,2017-02-15 10:53
97,37,4,Ergonomic multi-tasking conglomeration,2016-08-12 13:32
25,40,3,Extended methodical benchmark,2016-07-12 09:36
14,6,3,Ameliorated value-added utilisation,2016-07-14 22:18
40,34,5,Distributed holistic initiative,2017-01-14 17:26
98,7,3,Organic hybrid secured line,2016-12-30 12:24
40,96,1,Cross-group homogeneous projection,2017-02-19 13:29
